INFO         | Android emulator version 36.6.11.0 (build_id 15507667) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath C:\Users\777\AppData\Local\Android\Sdk\system-images\android-36\google_apis\x86_64\
INFO         | Guest usage of host flag 'VulkanVirtualQueue' will be ignored.
INFO         | Increasing RAM size to 2560MB
INFO         | IPv4 server found: 198.18.0.2
INFO         | Ignore IPv6 address: d8a6:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: d8a6:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: d8a6:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: d8ac:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: d8ac:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: d8ac:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: c8b2:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: c8b2:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: c8b2:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: c0b8:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: c0b8:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: c0b8:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: a8be:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: a8be:a222:cf01:0:3098:a222:cf01:0
INFO         | Ignore IPv6 address: a8be:a222:cf01:0:3098:a222:cf01:0
INFO         | Guest GLES Driver: Auto (ext controls)
INFO         | emuglConfig_init: vulkan_mode_selected:swiftshader gles_mode_selected:swiftshader
INFO         | Checking system compatibility:
INFO         |   Checking: hasCompatibleHypervisor
INFO         |      Ok: Hypervisor compatibility to run avd: `Starward_API_36` are met
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `Starward_API_36` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU compatibility checks are not required
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `Starward_API_36` are met
INFO         | Storing crashdata in: C:\Users\777\AppData\Local\Temp\\AndroidEmulator\emu-crash-36.6.11.db, detection is enabled for process: 19332
INFO         | Initializing gfxstream backend
INFO         | startOpenglesRendererImpl: gpu info
INFO         | GPU #1
  Make: 10de
  Model: NVIDIA GeForce RTX 3060
  Device ID: 2504

INFO         | Disabling implicit Vulkan layers to avoid compatibility issues. Set VK_LOADER_LAYERS_DISABLE manually to disable this behavior.
INFO         | initIcdPaths: ICD set to 'swiftshader', using Swiftshader ICD
INFO         | Setting ICD filenames for the loader = C:\Users\777\AppData\Local\Android\Sdk\emulator\lib64\vulkan\vk_swiftshader_icd.json
INFO         | SharedLibrary::open for [C:\Users\777\AppData\Local\Android\Sdk\emulator\qemu\windows-x86_64\lib64\vulkan\vulkan-1.dll]
INFO         | SharedLibrary::open for [C:\Users\777\AppData\Local\Android\Sdk\emulator\lib64\vulkan\vulkan-1.dll]
INFO         | Added library: C:\Users\777\AppData\Local\Android\Sdk\emulator\lib64\vulkan\vulkan-1.dll
INFO         | Selecting Vulkan device: SwiftShader Device (LLVM 10.0.0), Version: 1.2.0
INFO         | Using Vulkan externalMemoryMode: HostAllocation for VkEmulation
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: false
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         |     enableProtectedMemoryEmulation: false
INFO         | Graphics Adapter Vendor Google (Google Inc.)
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (Google SwiftShader)
INFO         | Graphics API Version OpenGL ES 3.0 (OpenGL ES 3.0 SwiftShader 4.0.0.1)
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_standard_derivatives GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Sending adb public key [QAAAAJmNQhtXiVOmq2ZPj7bP1IeThi02vy29Y+SwqwKQggvu4ITtXvhady3BEmA31HkEvb9Ma72r81iGxYmbBLYgNBfb0IjVXGBWYwokybiNr28adpgllUhO97ECoyDvry/svAdl2CVMe2fSKSJfiBcaXbOt/SOr/ec+bQudn5y8wJnm7lu9lzxp0ail/QUJhV1AMQL4b2FX1POutDd7gQwKLFFNYMyu4JwUBxnFhbIOAB2ywCBYEy5lCZ8BH3jv+Mt/udZDVFd17FHggi3zR6/DW7lfs0RtZI+9yB2nRO+IwXAzON+CtRtvooddn9eVgzLv/4XVhMh0QiqYOkB12K58ioanrujA5yLkqMnh+PQ+KohgWk7nqYT51YB6IzKLnDUeRiEKXH7uNgi5gdiWM8g98GAcPKWsh8HFGR7InHaP5gZPyedzdxxnlzEyY8LfA5+Pz5NOXIKfTfy8Gq6oq7/PtA3shjxwXTujwXL6DQv847PkOqsxrvmvdbam0BsPyOyemFfyjij39d6aCAEgIgmBeQ3B168BM/klw3oZHRov7XBhw8QR4E1S/skaV8CAzDBqXTJkJfeM5Cm2yTHEpLGVpcfN4vB0HxMIFH5qYdpeM/regTltZm9SfPbqqg6dgtezqPpoSmfgksLB3lpPd7LiASglFbdga7be1L5zry2rOz/Q7gUIFwEAAQA= @unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=pci0000:00/0000:00:03.0 pci0000:00/0000:00:06.0
INFO         |   androidboot.dalvik.vm.heapsize=576m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.debug.sf.nobootanimation=1
